Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Main temper (Finnish);Other tempers (Finnish);Count (1-10);Count (10-100);Count (>100);Other notes (Finnish);Photo ID
BA;613010040;Porvoo;Böle;BM;55,1;;6702770;3433160;10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Coastal Bronze Age pottery;pronssikautinen;2;kivimurska;;TRUE;FALSE;FALSE;;BM 55,1
BA;297010010;Kuopio;Kuusikkolahdenniemi;KHMESIE;6154;1-21;6982320;3541460;85;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;;asbesti;;TRUE;FALSE;TRUE;;KHMESIE 6154_1-21
BA;140010001;Iisalmi;Jysmä;KHMESIE;6294;1-4;7055050;3495500;100;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;;kiille;;FALSE;FALSE;TRUE;karsta (1);KHMESIE 6294_1-4
BA;140010003;Iisalmi;Haapakangas;KHMESIE;6342;;7050550;3500650;89;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;;asbesti;;TRUE;FALSE;FALSE;;KHMESIE 6342
BA;297010001;Kuopio;Luukonsaari;KHMESIE;6343;;6968540;3543820;85;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;;asbesti;;TRUE;FALSE;FALSE;;KHMESIE 6343
BA;140010003;Iisalmi;Haapakangas;KHMESIE;6488;;7050550;3500650;89;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;;asbesti;;FALSE;FALSE;TRUE;teksiilipainanne (2), karsta (4);KHMESIE 6344
BA;686010008;Rautalampi;Vaalijala (Kuutinharju);KHMESIE;8191;1-37;6948063;3491685;105;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;;asbesti;;FALSE;FALSE;TRUE;;KHMESIE 8191_1-37
BA;77010001;Hankasalmi;Kotisalo;KM;5427;275-301;6914000;3463600;90;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Sirnihta Ware;Sirnihta;1;asbesti;;TRUE;FALSE;FALSE;;KM 5427_275-301
BA;Karjala 61;Viipuri;Häyrynmäki;KM;5620;1-2971;6737415;3599675;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;shamotti;;FALSE;TRUE;FALSE;;KM 5620_1-2971
BA;586010039;Salo;Vaarnummi;KM;6129;3;6681195;3281538;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;2;kivimurska;;TRUE;TRUE;FALSE;;KM 6129_3
BA;586010039;Salo;Vaarnummi;KM;6129;3;6681195;3281538;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;3;hiekka;;TRUE;TRUE;FALSE;;KM 6129_3
