Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype 2;Subtype (Finnish);Certainty;Subtype 2 (Finnish);Integrity;Stone art (Finnish);Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
IA;porvoo 14;Pyhtää;Ahvenkoski;BM;23;;6710116;3471482;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;2;;TRUE;;40;33;;;;;tiedot kortista;BM 23
IA;porvoo 0;Porvoo;;BM;24;;6698998;3426655;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;2;;FALSE;;32;28;;;;;tiedot kortista;BM 24
IA;porvoo 41;Porvoo;Kulloo-Nyby;BM;55,9;;6691719;3416751;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;80;48;25;;;;tiedot kortista;BM 55,9
IA;porvoo 53;Porvoo;Onas;BM;69,73;;6677703;3420596;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;83;41;29;;;;tiedot kortista;BM 69,73
IA;uusi 8396;Ruotsi;;BM;4639;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;;;;;;;;BM 4639
IA;porvoo 0;Porvoo;;BM;4640;;6698998;3426655;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;TRUE;harmaa kivilaji;110;57;30;;;;;BM 4640
IA;halikko 0;Salo;Halikko;Hal;1908;;6705094;3283817;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;hiekkakivi;90;63;45;;;;;Hal 1908
IA;1000016686;Kuopio;Taivalharju;KHMESIE;1755;;6981080;3535150;85;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;89;50;45;;;;;KHMESIE 1755
IA;uusi 8382;tuntematon;;KHMESIE;1973;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;117;41;22;;;;;KHMESIE 1973
IA;uusi 8382;tuntematon;;KHMESIE;2011;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;2;;FALSE;vuolukivi;39;37;11;;;;;KHMESIE 2011
IA;1000013108;Kuopio;Laaja;KHMESIE;2632;;7005550;3562600;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;3;;TRUE;vuolukivi;54;53;13;;;;Epäsymmetrinen. Toiselle puolelle porattu reiän viereen pieni, matala kuoppa.;KHMESIE 2632
