Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish)
SA;Karjala 61;Viipuri;HÑyrynmÑki;KM;5428;988;6737415;3599675;;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;;TRUE;28;19;11;;;;
SA;246010004;Savonlinna;Kankaanlaita a;KM;9135;35;6876514;3616302;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;
SA;254010002;Sastamala;Uusi-Jaara;KM;9409;130;6821756;3263541;80;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Hafting pitch;;Varttamispihka;2;FALSE;;;;;;;kaksi yhteensopivaa pientÑ palaa
SA;580010014;Parikkala;Kosinonniemi;KM;10084;8;6834735;3629365;70;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;TRUE;30;10;8;;;;hampaanjÑljet
SA;605010001;NÑrpiî;Pîrtom-RaineÜsen;KM;12545;131;6971720;3221046;37,8;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Hafting pitch;;Varttamispihka;1;FALSE;;;;;;;
SA;18010058;Askola;Taka-Piskulan Ruoksmaa;KM;12931;247;6718060;3423120;30;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;Birch bark tar;Chewing pitch;;Purupihka;1;TRUE;31;11;7;;;;hampaanjÑljet
SA;18010004;Askola;TallikÑÑrî;KM;12934;236;6710780;3423000;25;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;TRUE;20;13;10;;;;
SA;18010058;Askola;Taka-Piskulan Ruoksmaa;KM;13067;649;6718060;3423120;30;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;Birch bark tar;Chewing pitch;;Purupihka;1;TRUE;19;14;9;;;;
SA;18010058;Askola;Taka-Piskulan Ruoksmaa;KM;13303;64;6718060;3423120;30;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;Birch bark tar;Chewing pitch;;Purupihka;3;FALSE;;;;;;;
SA;777010025;Suomussalmi;KalmosÑrkkÑ;KM;14830;502;7237045;3614621;199;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;ei mittoja
